species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
C5O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H8 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H7+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C5 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4H7+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4P 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4P+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4S 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3S 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3P 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C4S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
